Entity,Code,Year,Oil (tWh),Gas (tWh),Coal (tWh),Nuclear (tWh),Hydropower (tWh),Other renewables (tWh)
Africa,,1965,316.7773001,10.552653,335.5907573,0,37.57580414,0
Africa,,1966,347.3688632,11.788922,331.3719781,0,41.18170773,0
Africa,,1967,344.1296685,11.660342,341.0108269,0,42.52192884,0
Africa,,1968,363.1425067,11.901662,355.4072587,0,49.00784938,0
Africa,,1969,368.629932,14.177457,357.5063946,0,56.7970969,0
Africa,,1970,409.3456166,17.536895,367.9708149,0,71.25338688,0
Africa,,1971,460.7409183,20.02041699,388.7319283,0,67.99106659,0.431578947
Africa,,1972,499.3394123,26.61432906,392.4449646,0,78.51810109,0.434210526
Africa,,1973,536.6344732,42.48090162,414.9090023,0,78.43089987,0.447368421
Africa,,1974,555.1184177,47.54558996,432.1409868,0,92.33996181,0.460526316
Africa,,1975,581.416477,57.61846865,459.0794933,0,97.05012729,0.452631579
Africa,,1976,650.0473991,65.74713429,481.9503073,0,107.5294191,0.486842105
Africa,,1977,684.2800918,73.58644182,492.9228231,0,118.6403977,0.497368421
Africa,,1978,716.2458668,105.1489866,477.932741,0,121.2765246,0.513157895
Africa,,1979,760.3071804,160.8862751,504.5518342,0,124.4215968,0.528947368
Africa,,1980,811.9596631,204.1490217,543.8856856,0,121.1320278,0.544736842
Africa,,1981,859.8852986,249.7807298,636.1955237,0,127.3090696,0.573684211
Africa,,1982,904.4871091,269.4671382,702.5677828,0,127.9808282,0.621052632
Africa,,1983,936.0344544,296.3740991,710.0489165,0,119.7603017,0.605263158
Africa,,1984,957.2511329,283.7055285,762.6247721,10.87405,118.7525272,0.615789474
Africa,,1985,978.2712109,303.2523634,787.1902554,14.72358,126.6483975,0.707894737
Africa,,1986,963.1666389,341.2146473,805.3904154,24.38811,134.2944261,1.734210526
Africa,,1987,1011.36451,351.6125823,828.3495232,17.08447,127.2429903,1.731578947
Africa,,1988,1061.413257,390.0123328,890.1926297,29.075,137.8672967,1.647368421
Africa,,1989,1096.854205,404.1198123,835.6744672,30.74972,146.8193441,1.623684211
Africa,,1990,1115.95365,414.1364898,878.1254019,23.41119,151.921834,1.926731302
Africa,,1991,1118.18626,417.7836238,853.5168096,25.33014,159.7444337,1.943213296
Africa,,1992,1139.430475,445.3025191,858.6388272,25.73719,153.7234823,1.922160665
Africa,,1993,1154.363199,445.0699703,871.9575494,20.09664,150.869482,1.887950139
Africa,,1994,1179.913003,465.7397875,894.5019365,26.87693,152.7739446,1.594404432
Africa,,1995,1222.507083,496.700701,922.1579753,31.30796,162.7864236,1.978351801
Africa,,1996,1254.757838,523.3997035,934.8996639,32.62215,166.3785356,2.51463555
Africa,,1997,1291.83582,514.0855153,958.678971,35.02956,170.1483805,2.738582918
Africa,,1998,1322.598102,542.9009104,936.68678,37.6812,179.3959883,3.530185227
Africa,,1999,1371.203705,545.5149525,965.9015436,35.56454,189.1254174,3.416722623
Africa,,2000,1377.30177,602.7971663,963.952518,36.04137,196.595273,4.879293629
Africa,,2001,1393.652295,687.4480375,976.7593737,29.70302,212.9256897,5.709213296
Africa,,2002,1417.240346,726.1882411,935.5459233,33.22691,218.2766403,5.249330401
Africa,,2003,1453.795245,773.9899825,1018.290453,33.32368421,213.4214445,6.732895082
Africa,,2004,1526.042524,851.3665506,1118.943334,35.17105263,230.0907009,8.167342717
Africa,,2005,1605.678855,890.0315285,1038.650801,29.71842105,235.0119854,8.245584822
Africa,,2006,1606.460685,937.7663214,1053.43691,31,254.1332726,10.46674561
Africa,,2007,1675.305075,1011.887161,1070.914469,29.78157895,249.0594819,9.554391096
Africa,,2008,1763.860543,1054.12707,1180.254461,34.22105263,254.5514826,10.26273105
Africa,,2009,1821.436027,1041.727666,1174.814967,33.7,259.0345296,12.2696809
Africa,,2010,1913.056088,1114.131134,1164.141839,31.83947368,284.313334,15.32002628
Africa,,2011,1854.332346,1185.575657,1144.979465,35.53157895,276.1393646,15.74959685
Africa,,2012,1960.85632,1262.804608,1117.0875,31.45789474,297.0223883,16.44808963
Africa,,2013,2039.573465,1289.47761,1133.414221,37.12105263,311.1615413,20.12065527
Africa,,2014,2064.526722,1329.651854,1189.676101,36.3,325.4029083,31.166186
Africa,,2015,2117.744464,1421.633562,1108.521085,32.20263158,312.8923711,49.18821687
Africa,,2016,2156.143916,1446.11348,1115.887202,41.87747105,300.3329558,58.4292522
Algeria,DZA,1965,14.99107,8.08285,0.8141,0,1.03507,0
Algeria,DZA,1966,19.68959,8.39686,0.79084,0,0.95366,0
Algeria,DZA,1967,18.35214,8.141,0.60476,0,1.06996,0
Algeria,DZA,1968,19.56166,8.55968,0.63965,0,1.46538,0
Algeria,DZA,1969,20.64325,11.25784,0.8141,0,0.95366,0
Algeria,DZA,1970,23.63216,10.5833,0.96529,0,1.53516,0
Algeria,DZA,1971,26.60944,12.01379,0.26749,0,0.86062,0
Algeria,DZA,1972,29.23782,13.956,0.2326,0,1.31419,0
Algeria,DZA,1973,31.85457,19.4221,0.26749,0,1.98873,0
Algeria,DZA,1974,35.30868,22.48079,0.22097,0,1.31419,0
Algeria,DZA,1975,39.28614,30.98232,0.27912,0,0.86062,0
Algeria,DZA,1976,45.08951,36.6345,0.54661,0,1.01181,0
Algeria,DZA,1977,51.172,39.04191,0.70943,0,0.70943,0
Algeria,DZA,1978,52.57923,62.69733,0.36053,0,0.67454,0
Algeria,DZA,1979,63.0346,88.65549,0.83736,0,0.76758,0
Algeria,DZA,1980,63.60447,119.00979,0.74432,0,0.67454,0
Algeria,DZA,1981,68.48907,154.70226,0.52335,0,0.95366,0
Algeria,DZA,1982,72.62935,175.53159,9.71105,0,1.25604,0
Algeria,DZA,1983,81.53793,192.17412,8.66435,0,0.61639,0
Algeria,DZA,1984,90.2488,168.83271,9.60638,0,1.19789,0
Algeria,DZA,1985,92.64458,167.26266,10.02506,0,1.70961,0
Algeria,DZA,1986,93.94714,183.1725,10.29255,0,0.67454,0
Algeria,DZA,1987,94.87754,187.3593,12.30454,0,1.31419,0
Algeria,DZA,1988,94.99384,211.11939,11.57185,0,0.48846,0
Algeria,DZA,1989,99.47139,198.66366,9.78083,0,0.70943,0
Algeria,DZA,1990,106.48428,212.16609,7.66417,0,0.36053,0
Algeria,DZA,1991,105.47247,209.54934,7.9084,0,0.76758,0
Algeria,DZA,1992,105.98419,216.35289,9.39704,0,0.52335,0
Algeria,DZA,1993,105.58877,194.16285,7.65254,0,0.9304,0
Algeria,DZA,1994,100.8321,204.62985,7.2106,0,0.44194,0
Algeria,DZA,1995,98.07579,219.91167,7.2106,0,0.51172,0
Algeria,DZA,1996,93.7378,225.87786,3.39596,0,0.36053,0
Algeria,DZA,1997,92.87718,211.01472,5.95456,0,0.19771,0
Algeria,DZA,1998,95.56371,218.23695,6.37324,0,0.56987,0
Algeria,DZA,1999,94.3193,223.05177,6.82681,0,0.53498,0
Algeria,DZA,2000,98.65729,207.72343,5.64055,0,0.13956,0
Algeria,DZA,2001,102.13466,214.58513,6.5128,0,0.18608,0
Algeria,DZA,2002,113.20642,211.88697,8.54805,0,0.15119,0
Algeria,DZA,2003,117.75375,223.94728,7.04778,0,0.6978,0
Algeria,DZA,2004,123.1617,230.43682,8.40849,0,0.66291,0
Algeria,DZA,2005,128.3300255,243.117009,6.90822,0,1.461315789,0
Algeria,DZA,2006,133.929917,248.48658,10.25766,0,0.572631579,0
Algeria,DZA,2007,150.0335862,254.2603561,8.80391,0,0.594736842,0
Algeria,DZA,2008,163.0610666,265.390785,8.80391,0,0.744736842,0
Algeria,DZA,2009,172.91484,285.047811,5.65218,0,0.9,0
Algeria,DZA,2010,172.53105,275.428638,3.6053,0,0.455263158,0.023947368
Algeria,DZA,2011,184.11453,291.411747,3.19825,0,0.994736842,0.047680921
Algeria,DZA,2012,195.63986,324.874746,3.39596,0,1.023684211,0.07032372
Algeria,DZA,2013,204.24606,349.315191,1.83754,0,0.260526316,0.075263158
Algeria,DZA,2014,205.3858,392.491566,2.08177,0,0.507894737,0.160526316
Algeria,DZA,2015,226.350038,412.3998,1.67472,0,0.381578947,0.202631579
Algeria,DZA,2016,219.719775,418.68,1.679308274,0,0.189473684,0.589610671
Argentina,ARG,1965,256.4377305,44.38008,9.259104629,0,3.18662,0
Argentina,ARG,1966,264.6602894,48.06679,9.693390763,0,3.23314,0
Argentina,ARG,1967,270.9859324,50.26486,9.502962265,0,3.30292,0
Argentina,ARG,1968,276.7453226,55.96356,7.637724502,0,3.89605,0
Argentina,ARG,1969,287.2598275,55.75422,10.17855815,0,3.489,0
Argentina,ARG,1970,257.2581736,63.01134,11.39445271,0,3.98909,0.147891156
Argentina,ARG,1971,274.5843,65.3085,9.387453666,0,4.01235,0.155187075
Argentina,ARG,1972,274.85179,74.8305,8.374360031,0,3.90768,0.204902998
Argentina,ARG,1973,275.46818,83.349,8.839269791,0,7.7921,0.154387755
Argentina,ARG,1974,277.44528,82.149,11.3318091,2.69816,13.08375,0.158889474
Argentina,ARG,1975,260.84927,91.33075,12.23496939,6.02434,13.51406,0.1816286
Argentina,ARG,1976,271.16508,96.65025,12.48914993,6.17553,13.00234,0.157602041
Argentina,ARG,1977,285.38857,99.616,9.892323443,4.25658,15.01433,0.170184817
Argentina,ARG,1978,285.24901,96.97,14.13245005,7.53624,20.16642,0.168655533
Argentina,ARG,1979,301.7985,105.58475,11.16663402,7.00126,27.72592,0.262463268
Argentina,ARG,1980,282.13217,117.8045,10.86392603,6.08249,39.40244,0.268806162
Argentina,ARG,1981,260.80275,121.959,9.867029724,7.3269,38.15803,0.232344055
Argentina,ARG,1982,250.25434,131.58425,9.79850913,4.89623,46.04317,0.311550965
Argentina,ARG,1983,255.54599,146.1355,8.919796829,8.86206,47.9156,0.420610635
Argentina,ARG,1984,240.75263,156.305,6.006675662,12.07194,51.70698,0.330267615
Argentina,ARG,1985,217.81827,160.627,6.990557339,15.17715,54.35862,0.35887076
Argentina,ARG,1986,250.64976,184.5395,10.40762783,15.02596,55.33554,0.371187707
Argentina,ARG,1987,267.57141,186.74975,11.55399412,17.01469,57.60339,0.391765928
Argentina,ARG,1988,267.6063,217.6825,11.99301107,15.25856,41.58888,0.426688186
Argentina,ARG,1989,242.68321,232.166,12.00901966,13.2582,35.07608,0.422167975
Argentina,ARG,1990,229.09937,219.0555,10.92389577,19.15461,47.81093,0.342747049
Argentina,ARG,1991,235.05393,233.155,8.536460807,20.41065,43.24034,0.32694472
Argentina,ARG,1992,248.17257,240.23975,7.559510202,18.64289,52.64486975,0.334694669
Argentina,ARG,1993,245.89309,235.681,8.9405625,20.39902,62.75651249,0.378923571
Argentina,ARG,1994,236.58909,245.668,12.59916667,21.67832,74.41786284,0.410069252
Argentina,ARG,1995,236.19367,271.87525,11.29598334,18.59637,75.29505582,0.390995095
Argentina,ARG,1996,245.5093,300.04325,10.61497135,19.63144,68.46889952,1.184468638
Argentina,ARG,1997,245.38137,305.71025,9.839205459,20.95726,87.35778841,1.587467544
Argentina,ARG,1998,251.18474,317.409,8.496224068,19.61981,85.73365231,1.661035211
Argentina,ARG,1999,233.68159,346.01075,8.557231579,18.70104,70.54492291,2.210521345
Argentina,ARG,2000,236.41464,363.2085,7.143720359,16.25874,89.73950027,2.290816959
Argentina,ARG,2001,227.3665,339.866,7.728734569,18.57311,110.3322701,2.12035747
Argentina,ARG,2002,210.0378,334.37075,6.523731871,15.31671,109.2238171,3.00163419
Argentina,ARG,2003,216.318,368.68625,7.916481864,19.91056,102.9160021,3.609174629
Argentina,ARG,2004,226.84315,396.80397,12.49322628,20.73629,93.3891547,3.16396605
Argentina,ARG,2005,241.4722362,422.8668,13.111662,18.07302,104.2344498,3.248866158
Argentina,ARG,2006,253.134059,437.5206,12.27096,20.31842105,115.3447368,4.678966319
Argentina,ARG,2007,281.1580669,459.71064,14.19234582,19.08947368,100.2131579,4.561037833
Argentina,ARG,2008,289.317503,464.83947,16.18797727,19.45789474,98.74210526,4.852377494
Argentina,ARG,2009,282.9230738,441.1308015,11.10522133,21.53421053,108.4526316,4.924673976
Argentina,ARG,2010,326.4415695,453.4515643,14.76227766,18.97368421,107.5631579,5.665606606
Argentina,ARG,2011,328.7277926,471.5986745,18.00217609,16.84210526,105.2052632,5.777166209
Argentina,ARG,2012,344.2485845,489.1446525,15.23019594,16.84736842,98.17631579,6.864698461
Argentina,ARG,2013,370.476715,489.0881856,14.56732258,16.41842105,108.1289474,7.349887277
Argentina,ARG,2014,364.3110764,493.7220795,17.31707,15.23368421,108.6789474,9.442039774
Argentina,ARG,2015,374.2783716,504.3657678,15.81412928,18.80710526,111.2128947,7.259051295
Argentina,ARG,2016,371.0555352,519.2276727,12.29530028,22.15477,100.9813084,7.642153406
Asia Pacific,,1965,1900.714018,61.24029358,2780.351831,0.06978,396.2042008,4.326315789
Asia Pacific,,1966,2188.971132,68.13468933,2931.121529,0.97692,429.9678455,4.323684211
Asia Pacific,,1967,2554.483574,77.23661358,2853.893778,2.23296,405.3231513,3.747368421
Asia Pacific,,1968,2921.739349,84.07105858,2896.26028,1.89569,432.7549002,4.15
Asia Pacific,,1969,3394.335117,110.8030937,3249.660837,4.37288,461.535056,4.231578947
Asia Pacific,,1970,3935.239465,152.9702575,3630.539043,12.14172,471.3649266,4.675536842
Asia Pacific,,1971,4368.653459,180.6485311,3886.187937,21.36431,512.3471366,4.617397368
Asia Pacific,,1972,4700.910591,208.7168796,4035.852321,26.07446,535.8132171,4.698923684
Asia Pacific,,1973,5346.567584,256.7633756,4133.414038,31.13351,518.8921902,4.828942105
Asia Pacific,,1974,5307.391563,319.0034197,4233.925772,55.03316,566.2193794,6.569129224
Asia Pacific,,1975,5272.381923,369.9181394,4556.552125,64.38368,603.8992449,6.985090443
Asia Pacific,,1976,5604.917223,425.2085408,4664.733322,105.06542,612.4001952,6.808064681
Asia Pacific,,1977,5871.362746,522.3944557,4974.502928,80.31876842,594.2727561,6.901167036
Asia Pacific,,1978,6186.687015,624.2750568,5218.065662,156.4926789,618.7282696,7.677556233
Asia Pacific,,1979,6342.336515,712.8957861,5470.839919,194.2930742,671.5072467,9.770843213
Asia Pacific,,1980,6004.933992,765.7988909,5782.57008,254.8108953,714.7962911,13.61429778
Asia Pacific,,1981,5816.189017,775.8320324,5973.643843,267.9385137,760.2550046,18.61043532
Asia Pacific,,1982,5642.283372,809.1262481,6182.844192,328.3071779,736.3133815,41.97866911
Asia Pacific,,1983,5721.808097,889.4258846,6545.097738,368.4384542,791.1766513,47.546859
Asia Pacific,,1984,5922.099557,1039.610343,7111.983413,440.7666968,782.0108825,51.95299321
Asia Pacific,,1985,5886.931787,1129.447793,7673.254747,532.4353311,841.341718,54.71443899
Asia Pacific,,1986,6115.745499,1233.148234,7967.965871,598.0977868,849.6985917,57.07865713
Asia Pacific,,1987,6305.928544,1309.156121,8542.292161,703.8584832,863.3169585,57.92039404
Asia Pacific,,1988,6852.500975,1396.460463,9153.141255,663.1355816,930.7080037,62.7018536
Asia Pacific,,1989,7273.974749,1486.139305,9566.150562,701.1696989,1018.996567,68.23516524
Asia Pacific,,1990,7724.39005,1579.643066,9774.237265,758.6674132,1049.692188,58.10629294
Asia Pacific,,1991,8048.219578,1735.28099,10181.5509,807.4125611,1078.034438,59.65588248
Asia Pacific,,1992,8585.319592,1843.743288,10530.61343,829.9115079,1057.075343,60.56035485
Asia Pacific,,1993,8949.172709,1936.267907,11081.81497,919.3365421,1162.740676,60.80922901
Asia Pacific,,1994,9484.771827,2094.800758,11635.42048,982.4044132,1174.037265,70.71088759
Asia Pacific,,1995,10056.58878,2195.211326,11915.68129,1082.019841,1269.908139,83.98412199
Asia Pacific,,1996,10535.57093,2399.143983,12426.59233,1137.758786,1246.336149,85.10061803
Asia Pacific,,1997,11048.55586,2582.8779,12479.92761,1210.664812,1241.783398,95.98447474
Asia Pacific,,1998,10784.97246,2655.830862,12470.38161,1262.108953,1345.366457,104.7271137
Asia Pacific,,1999,11274.63962,2867.025501,12867.74653,1281.42017,1313.200835,114.3741954
Asia Pacific,,2000,11604.28021,3085.099786,13304.05275,1317.527786,1365.661498,120.4853285
Asia Pacific,,2001,11675.8837,3277.276949,13915.37994,1334.642526,1502.87837,125.6534584
Asia Pacific,,2002,12045.7202,3432.119467,14981.4273,1368.337608,1531.540675,132.519141
Asia Pacific,,2003,12560.60086,3725.364805,17129.8612,1216.796654,1566.66029,142.6342508
Asia Pacific,,2004,13268.40421,3961.828544,19268.31017,1383.621051,1799.276021,163.502098
Asia Pacific,,2005,13379.13314,4255.083098,21897.43479,1456.124921,1914.473727,193.5767813
Asia Pacific,,2006,13684.73163,4569.028852,23559.25931,1496.974067,2107.039542,222.9514029
Asia Pacific,,2007,14161.06967,4905.638281,25555.88258,1434.116065,2242.897891,255.3404457
Asia Pacific,,2008,14113.80431,5231.582683,26252.40592,1392.246115,2622.787472,304.3719465
Asia Pacific,,2009,14234.13003,5373.109858,27170.90717,1490.447673,2541.681387,387.7284486
Asia Pacific,,2010,15144.25752,5928.834501,28403.44668,1531.44082,2881.186334,477.8698268
Asia Pacific,,2011,15670.11864,6440.986308,30477.69613,1269.006663,2936.417538,601.3759074
Asia Pacific,,2012,16321.5639,6961.769692,31137.95633,906.7282456,3365.823249,718.9300906
Asia Pacific,,2013,16574.85013,7043.435683,31962.60225,908.3462447,3591.065602,919.1136109
Asia Pacific,,2014,16828.53884,7268.153505,32179.92014,975.4427,3971.381001,1081.293423
Asia Pacific,,2015,17512.11936,7345.710829,31956.15172,1104.374897,4124.581624,1310.772089
Asia Pacific,,2016,18110.89276,7562.417359,32024.75243,1232.006955,4281.102782,1680.567934
Australia,AUS,1965,175.86886,0.03489,202.0277778,0,20.2362,0.778947368
Australia,AUS,1966,209.36326,0.04652,209.3888889,0,19.32906,0.747368421
Australia,AUS,1967,229.44827,0.04652,215.25,0,20.01523,0.763157895
Australia,AUS,1968,249.9287,0.32564,221.6944444,0,20.92237,0.742105263
Australia,AUS,1969,256.53454,4.39614,229.2777778,0,22.85295,0.739473684
Australia,AUS,1970,283.91156,17.09550129,231.6944444,0,26.76496579,0.686842105
Australia,AUS,1971,298.79796,25.51552692,232.5694444,0,30.28274421,0.692105263
Australia,AUS,1972,303.8919,36.62760276,242.9305556,0,30.40345895,0.736842105
Australia,AUS,1973,324.04669,46.5017285,252.9861111,0,32.33115579,0.889473684
Australia,AUS,1974,343.28271,53.055004,264.0694444,0,36.51031632,1.128947368
Australia,AUS,1975,338.85168,56.97517929,272.5416667,0,39.17842526,1.286842105
Australia,AUS,1976,346.32977,67.26195507,281.7916667,0,37.24699684,1.273684211
Australia,AUS,1977,362.76296,76.83150579,294.1805556,0,35.64197421,1.128947368
Australia,AUS,1978,363.4277616,82.71668123,301.8611111,0,38.61934053,1.065789474
Australia,AUS,1979,369.5095358,95.21408217,315.5416667,0,37.48962,1.1
Australia,AUS,1980,354.0446075,109.3326082,324.7638889,0,35.43841526,1.013157895
Australia,AUS,1981,342.229177,118.4993339,333.1388889,0,36.49037842,1.063157895
Australia,AUS,1982,340.8405498,115.5714837,336.6805556,0,33.60614211,1.357894737
Australia,AUS,1983,337.5568861,125.5438595,336.5555556,0,31.90433684,1.134210526
Australia,AUS,1984,354.1316789,127.4014678,355.9027778,0,34.54197053,1.160526316
Australia,AUS,1985,336.432002,136.0469264,368.1388889,0,36.68555421,1.2
Australia,AUS,1986,344.6249824,148.4600221,377.4861111,0,36.90999684,1.210526316
Australia,AUS,1987,351.7812419,151.6072222,393.3611111,0,35.82577895,1.236842105
Australia,AUS,1988,368.0625627,155.1104821,413.7638889,0,37.72222,1.923684211
Australia,AUS,1989,380.7911636,167.7652896,433.9583333,0,37.50965526,2.131578947
Australia,AUS,1990,386.0397852,167.3838019,444.3472222,0,38.84078947,1.998684211
Australia,AUS,1991,375.1733585,164.155227,453.2638889,0,41.19342105,1.907763158
Australia,AUS,1992,376.3732376,172.2896925,455.9583333,0,41.95131579,1.795
Australia,AUS,1993,396.1777138,177.0226589,458.8888889,0,43.12368421,1.806842105
Australia,AUS,1994,411.1069179,194.6573954,468.2638889,0,42.5,1.893157895
Australia,AUS,1995,423.9596582,193.7824568,484.1666667,0,41.13421053,2.246447368
Australia,AUS,1996,430.4411197,197.0589199,503.9583333,0,42.02236842,2.576578947
Australia,AUS,1997,438.1843804,193.5376355,529.4583333,0,41.98026316,2.724078947
Australia,AUS,1998,437.2823706,199.2584941,553.0833333,0,41.57368421,2.985789474
Australia,AUS,1999,451.3150662,204.0938847,556.0201866,0,42.84605263,3.202894737
Australia,AUS,2000,448.7426442,207.9623704,558.2896582,0,43.33289474,2.816447368
Australia,AUS,2001,451.6370644,224.2574762,551.8628175,0,42.43026316,2.996447368
Australia,AUS,2002,449.5112758,230.8127777,563.9828573,0,42.35526316,4.891184211
Australia,AUS,2003,448.712018,232.7177908,580.1952719,0,42.65934211,6.471184211
Australia,AUS,2004,461.8358077,237.5125386,605.1317099,0,41.28065789,9.692631579
Australia,AUS,2005,459.2593562,235.8780483,601.7575547,0,40.69921053,13.82657895
Australia,AUS,2006,498.4686449,263.1207383,617.7222504,0,39.32921053,16.295
Australia,AUS,2007,494.3625181,294.356903,612.451691,0,34.33934211,19.05486842
Australia,AUS,2008,502.4319,291.5518375,637.9432303,0,31.0925,19.19407895
Australia,AUS,2009,506.1937907,305.084484,617.7940718,0,33.26855263,19.7757685
Australia,AUS,2010,508.518444,325.2482203,574.4026721,0,36.17368421,22.11631126
Australia,AUS,2011,538.7690614,352.9064843,559.546201,0,51.66842105,29.08025413
Australia,AUS,2012,557.0409957,354.0730523,524.4349678,0,44.95526316,34.82855263
Australia,AUS,2013,560.0030198,371.6037821,500.0929011,0,50.37894737,43.25802632
Australia,AUS,2014,559.6826114,400.5903406,495.9359413,0,38.24210526,48.12957895
Australia,AUS,2015,556.6413103,448.8533672,512.7355395,0,36.70789474,55.53505864
Australia,AUS,2016,556.3015203,430.3809021,509.470576,0,46.98657902,62.37170732
Austria,AUT,1965,64.67443,19.02916733,59.11489975,0,42.32368421,0
Austria,AUT,1966,71.12908,20.43218804,56.46759639,0,45.60789474,0
Austria,AUT,1967,75.74619,19.57526606,53.45090186,0,46.57368421,0
Austria,AUT,1968,87.64368,20.87504427,52.77368472,0,47.85526316,0
Austria,AUT,1969,96.27314,25.3262236,51.93639807,0,43.99473684,0
Austria,AUT,1970,105.79811,30.72042129,55.85416667,0,56.02552632,0
Austria,AUT,1971,118.11428,35.28934224,51.23361111,0,44.26342105,0
Austria,AUT,1972,127.42991,38.13699607,46.45388889,0,45.49368421,0
Austria,AUT,1973,138.00158,41.91646804,46.16972222,0,50.55052632,0
Austria,AUT,1974,123.42919,45.43466163,48.72277778,0,59.76894737,0
Austria,AUT,1975,124.59219,45.38000012,42.34055556,0,62.61894737,0
Austria,AUT,1976,135.4895,51.68572363,45.06,0,54.12,0
Austria,AUT,1977,129.56983,52.67386762,37.80027778,0,65.58105263,0
Austria,AUT,1978,139.56,54.78851625,38.40222222,0,65.63368421,0
Austria,AUT,1979,145.42152,54.32401652,41.68611111,0,73.93894737,0
Austria,AUT,1980,141.74644,52.18929608,42.83472222,0,76.605,0
Austria,AUT,1981,128.46498,49.74681911,43.85,0,81.17710526,0
Austria,AUT,1982,121.75447,48.15224848,41.70555556,0,81.30605263,0
Austria,AUT,1983,117.56767,49.13123986,44.65583333,0,80.54289474,0
Austria,AUT,1984,114.2066,54.70345957,50.88638889,0,70.65674737,0
Austria,AUT,1985,114.38105,58.61349614,50.815,0,80.98722632,0
Austria,AUT,1986,120.68451,56.90872944,45.3025,0,81.32612368,3.388160526
Austria,AUT,1987,124.0921,59.36709378,44.93944444,0,93.12629211,2.383726316
Austria,AUT,1988,122.82443,56.86939178,43.03388889,0,92.90549474,2.755157895
Austria,AUT,1989,120.73103,61.07587923,43.22805556,0,92.32218421,2.906447368
Austria,AUT,1990,126.24365,67.23677224,47.64055556,0,82.91842105,3.006539474
Austria,AUT,1991,136.00122,71.28530199,49.97222222,0,82.74578947,3.225873684
Austria,AUT,1992,132.48896,70.00216445,38.88194444,0,91.70631579,3.4978
Austria,AUT,1993,133.54729,73.61746138,34.95916667,0,96.59356842,3.584502632
Austria,AUT,1994,131.67486,75.72249368,35.45444444,0,93.96710526,3.188302632
Austria,AUT,1995,131.6516,82.67650971,40.33861111,0,97.54532105,4.892686842
Austria,AUT,1996,136.11752,88.00000696,40.51027778,0,90.04239737,4.198536842
Austria,AUT,1997,138.64123,84.81358175,42.96888889,0,95.01388947,4.56155
Austria,AUT,1998,143.96777,87.07334796,37.83,0,97.79824474,4.973097368
Austria,AUT,1999,141.32776,88.94095238,37.56991632,0,107.1029495,4.341873208
Austria,AUT,2000,137.8155,84.89981984,42.47900526,0,110.0938172,4.205998211
Austria,AUT,2001,149.89907,89.97697941,43.8810832,0,106.4617938,4.854768421
Austria,AUT,2002,153.0508,88.46083433,44.57506651,0,105.8605337,4.559063158
Austria,AUT,2003,165.58794,97.30237136,47.54769431,0,87.40787379,5.507686842
Austria,AUT,2004,161.08713,98.23883399,46.5763065,0,96.74285,7.899289474
Austria,AUT,2005,162.7037,103.433152,46.53093807,0,97.6187851,9.840666084
Austria,AUT,2006,164.71569,97.19629633,47.32915471,0,93.83180203,13.58910426
Austria,AUT,2007,156.14438,91.96037049,45.38575649,0,97.51097405,16.52398802
Austria,AUT,2008,155.3768,98.44858482,43.65030715,0,100.8670817,16.69389857
Austria,AUT,2009,149.39898,95.87960092,33.47778568,0,107.621851,16.52878057
Austria,AUT,2010,155.6030268,104.3570625,39.36074118,0,100.9563639,17.41093936
Austria,AUT,2011,147.30558,98.15820564,40.3797924,0,90.11289328,17.40825831
Austria,AUT,2012,145.5964428,93.62401692,37.57339545,0,115.2775579,19.48582045
Austria,AUT,2013,148.10805,89.73507322,38.13585258,0,110.6429508,22.00847583
Austria,AUT,2014,145.00284,82.3540327,34.85219531,0,107.9205953,23.51083918
Austria,AUT,2015,144.8508148,87.37898555,37.69503443,0,97.5159351,26.80737228
Austria,AUT,2016,147.2007303,91.50062178,36.93268767,0,104.420799,28.49260733
Azerbaijan,AZE,1985,95.9691911,138.11131,1.06996,0,3.45411,0
Azerbaijan,AZE,1986,100.5925017,153.4557575,1.06996,0,2.11666,0
Azerbaijan,AZE,1987,94.71774734,151.5602669,1.06996,0,2.11666,0
Azerbaijan,AZE,1988,97.0492114,149.6647763,1.06996,0,1.83754,0
Azerbaijan,AZE,1989,94.67277911,157.2467386,1.06996,0,1.83754,0
Azerbaijan,AZE,1990,99.35376426,160.3720415,1.03507,0,1.83754,0
Azerbaijan,AZE,1991,95.83158028,153.4557575,0.77921,0,4.61711,0
Azerbaijan,AZE,1992,93.40614014,119.3482099,0.13956,0,4.59385,0
Azerbaijan,AZE,1993,93.04888797,88.09518082,0.03489,0,6.30346,0
Azerbaijan,AZE,1994,84.5130668,82.40870911,0.04652,0,4.80319,0
Azerbaijan,AZE,1995,76.52804748,81.46096382,0.03489,0,4.10539,0
Azerbaijan,AZE,1996,69.04437886,59.67410494,0.03489,0,4.03561,0
Azerbaijan,AZE,1997,65.66647846,56.83086908,0.03489,0,4.50081,0
Azerbaijan,AZE,1998,69.16795943,53.03988794,0,0,5.14046,0
Azerbaijan,AZE,1999,66.60292984,56.83086908,0,0,3.97746,0
Azerbaijan,AZE,2000,73.62540119,54.93537851,0,0,4.036842105,0
Azerbaijan,AZE,2001,46.48425902,78.79825088,0.03489,0,3.423684211,0
Azerbaijan,AZE,2002,42.62395,79.02390452,0.02326,0,5.315789474,0
Azerbaijan,AZE,2003,49.68336,81.03222191,0.03489,0,6.5,0
Azerbaijan,AZE,2004,52.14892,87.15553596,0.0106996,0,7.25,0
Azerbaijan,AZE,2005,62.52288,90.02567262,0.0374486,0,7.919473684,0
